year,competition,name,noc,rank_AA,apparatus,rotation,D_score,E_score,final_score,,,,
2023,European Championships,KUUSIKKO Maisa ,FIN,15,FX,1,5.2 ,7.100 ,12.300 ,,,,
2023,European Championships,VOSS Sarah ,GER,16,VT,3,4.2 ,9.300 ,13.500 ,,,,
2023,European Championships,VOSS Sarah ,GER,16,UB,4,5.3 ,6.700 ,12.000 ,,,,
2023,European Championships,VOSS Sarah ,GER,16,BB,1,5.2 ,6.766 ,11.966 ,,,,
2023,European Championships,VOSS Sarah ,GER,16,FX,2,5.0 ,7.466 ,12.466 ,,,,
2023,European Championships,SZEKELY Zoja ,HUN,17,VT,3,4.2 ,8.800 ,13.000 ,,,,
2023,European Championships,SZEKELY Zoja ,HUN,17,UB,4,5.9 ,7.533 ,13.433 ,,,,
2023,European Championships,SZEKELY Zoja ,HUN,17,BB,1,4.8 ,5.866 ,10.666 ,,,,
2023,European Championships,SZEKELY Zoja ,HUN,17,FX,2,4.6 ,7.633 ,12.233 ,,,,
2023,European Championships,KICKINGER Selina ,AUT,18,VT,2,4.2 ,8.966 ,13.166 ,,,,
2023,European Championships,KICKINGER Selina ,AUT,18,UB,3,4.9 ,7.466 ,12.366 ,,,,
2023,European Championships,KICKINGER Selina ,AUT,18,BB,4,4.6 ,7.466 ,12.066 ,,,,
2023,European Championships,KICKINGER Selina ,AUT,18,FX,1,4.4 ,7.233 ,11.633 ,,,,
2023,European Championships,GHIGOARTA Amalia ,ROU,19,VT,4,4.2 ,8.800 ,13.000 ,,,,
2023,European Championships,GHIGOARTA Amalia ,ROU,19,UB,1,3.4 ,5.866 ,9.266 ,,,,
2023,European Championships,GHIGOARTA Amalia ,ROU,19,BB,2,5.4 ,7.500 ,12.900 ,,,,
2023,European Championships,GHIGOARTA Amalia ,ROU,19,FX,3,5.1 ,7.633 ,12.733 ,,,,
2023,European Championships,WESTLUND Emelie ,SWE,20,VT,3,4.2 ,8.566 ,12.766 ,,,,
2023,European Championships,WESTLUND Emelie ,SWE,20,UB,4,5.2 ,7.533 ,12.733 ,,,,
2023,European Championships,WESTLUND Emelie ,SWE,20,BB,1,4.4 ,5.833 ,10.233 ,,,,
2023,European Championships,WESTLUND Emelie ,SWE,20,FX,2,4.3 ,7.666 ,11.966 ,,,,
2023,European Championships,FRYSAK Bianca ,AUT,21,VT,4,4.2 ,8.433 ,12.633 ,,,,
2023,European Championships,FRYSAK Bianca ,AUT,21,UB,1,4.8 ,7.233 ,12.033 ,,,,
2023,European Championships,FRYSAK Bianca ,AUT,21,BB,2,4.6 ,6.000 ,10.600 ,,,,
2023,European Championships,FRYSAK Bianca ,AUT,21,FX,3,4.3 ,7.566 ,11.866 ,,,,
2023,European Championships,TRONRUD Maria ,NOR,22,VT,2,4.2 ,8.533 ,12.733 ,,,,
2023,European Championships,TRONRUD Maria ,NOR,22,UB,3,4.5 ,7.600 ,12.100 ,,,,
2023,European Championships,TRONRUD Maria ,NOR,22,BB,4,5.3 ,7.266 ,12.566 ,,,,
2023,European Championships,TRONRUD Maria ,NOR,22,FX,1,4.4 ,5.266 ,9.666 ,,,,
2023,European Championships,TANSKANEN Kaia,FIN,23,VT,3,4.4 ,8.800 ,13.200 ,,,,
2023,European Championships,TANSKANEN Kaia,FIN,23,UB,4,4.8 ,5.700 ,10.500 ,,,,
2023,European Championships,TANSKANEN Kaia,FIN,23,BB,1,4.9 ,5.866 ,10.766 ,,,,
2023,European Championships,TANSKANEN Kaia,FIN,23,FX,2,5.1 ,7.400 ,12.500 ,,,,
