year,competition,name,noc,rank_AA,apparatus,rotation,D_score,E_score,final_score,,,,
2022,world champion,GADIROVA Jessica ,GBR,3,FX,4,6.0 ,8.400 ,14.400 ,,,,
2022,world champion,KINSELLA Alice,GBR,4,VT,3,5.0 ,9.166 ,14.166 ,,,,
2022,world champion,KINSELLA Alice,GBR,4,UB,4,6.0 ,8.166 ,14.166 ,,,,
2022,world champion,KINSELLA Alice,GBR,4,BB,1,5.8 ,7.300 ,13.100 ,,,,
2022,world champion,KINSELLA Alice,GBR,4,FX,2,5.6 ,8.033 ,13.633 ,,,,
2022,world champion,BLACK Elsabeth,CAN,5,VT,4,5.0 ,9.033 ,14.033 ,,,,
2022,world champion,BLACK Elsabeth,CAN,5,UB,1,5.7 ,8.233 ,13.933 ,,,,
2022,world champion,BLACK Elsabeth,CAN,5,BB,2,5.8 ,7.633 ,13.433 ,,,,
2022,world champion,BLACK Elsabeth,CAN,5,FX,3,5.0 ,8.333 ,13.333 ,,,,
2022,world champion,CAREY Jade,USA,6,VT,1,5.6 ,9.133 ,14.733 ,,,,
2022,world champion,CAREY Jade,USA,6,UB,2,5.4 ,7.766 ,13.166 ,,,,
2022,world champion,CAREY Jade,USA,6,BB,3,5.2 ,7.433 ,12.633 ,,,,
2022,world champion,CAREY Jade,USA,6,FX,4,6.1 ,8.066 ,14.166 ,,,,
2022,world champion,OU Yushan,CHN,7,VT,1,4.2 ,8.900 ,13.100 ,,,,
2022,world champion,OU Yushan,CHN,7,UB,2,5.8 ,7.400 ,13.200 ,,,,
2022,world champion,OU Yushan,CHN,7,BB,3,6.2 ,7.666 ,13.866 ,,,,
2022,world champion,OU Yushan,CHN,7,FX,4,5.6 ,8.133 ,13.733 ,,,,
2022,world champion,MIYATA Shoko,JPN,8,VT,4,5.0 ,9.233 ,14.233 ,,,,
2022,world champion,MIYATA Shoko,JPN,8,UB,1,5.5 ,7.366 ,12.866 ,,,,
2022,world champion,MIYATA Shoko,JPN,8,BB,2,5.7 ,7.266 ,12.966 ,,,,
2022,world champion,MIYATA Shoko,JPN,8,FX,3,5.7 ,8.033 ,13.733 ,,,,
2022,world champion,MAGGIO Martina,ITA,9,VT,1,4.6 ,9.433 ,14.033 ,,,,
2022,world champion,MAGGIO Martina,ITA,9,UB,2,5.7 ,7.100 ,12.800 ,,,,
2022,world champion,MAGGIO Martina,ITA,9,BB,3,5.4 ,7.633 ,13.033 ,,,,
2022,world champion,MAGGIO Martina,ITA,9,FX,4,5.7 ,8.166 ,13.866 ,,,,
2022,world champion,D'AMATO Alice,ITA,10,VT,4,5.0 ,9.166 ,14.166 ,,,,
2022,world champion,D'AMATO Alice,ITA,10,UB,1,6.1 ,7.166 ,13.266 ,,,,
2022,world champion,D'AMATO Alice,ITA,10,BB,2,5.3 ,7.233 ,12.533 ,,,,
2022,world champion,D'AMATO Alice,ITA,10,FX,3,5.0 ,8.066 ,13.066 ,,,,
2022,world champion,VAELEN Lisa,BEL,11,VT,3,5.4 ,8.800 ,14.200 ,,,,
2022,world champion,VAELEN Lisa,BEL,11,UB,4,5.6 ,8.200 ,13.800 ,,,,
2022,world champion,VAELEN Lisa,BEL,11,BB,1,4.6 ,6.733 ,11.333 ,,,,
2022,world champion,VAELEN Lisa,BEL,11,FX,2,5.1 ,8.266 ,13.366 ,,,,
2022,world champion,GODWIN Georgia,AUS,12,VT,3,4.8 ,8.966 ,13.766 ,,,,
2022,world champion,GODWIN Georgia,AUS,12,UB,4,5.6 ,7.900 ,13.500 ,,,,
2022,world champion,GODWIN Georgia,AUS,12,BB,1,5.4 ,7.000 ,12.400 ,,,,
2022,world champion,GODWIN Georgia,AUS,12,FX,2,5.5 ,7.533 ,13.033 ,,,,
2022,world champion,KUUSIKKO Maisa,FIN,13,VT,2,4.6 ,8.900 ,13.500 ,,,,
2022,world champion,KUUSIKKO Maisa,FIN,13,UB,3,6.0 ,7.300 ,13.300 ,,,,
2022,world champion,KUUSIKKO Maisa,FIN,13,BB,4,4.9 ,7.566 ,12.466 ,,,,
2022,world champion,KUUSIKKO Maisa,FIN,13,FX,1,5.0 ,7.733 ,12.733 ,,,,
2022,world champion,YAMADA Chiharu,JPN,14,VT,3,4.2 ,8.966 ,13.166 ,,,,
2022,world champion,YAMADA Chiharu,JPN,14,UB,4,5.7 ,7.766 ,13.466 ,,,,
2022,world champion,YAMADA Chiharu,JPN,14,BB,1,5.3 ,6.933 ,12.233 ,,,,
2022,world champion,YAMADA Chiharu,JPN,14,FX,2,5.3 ,7.800 ,13.100 ,,,,
2022,world champion,BRASSART Maellyse ,BEL,15,VT,4,4.2 ,9.066 ,13.266 ,,,,
2022,world champion,BRASSART Maellyse ,BEL,15,UB,1,5.7 ,8.066 ,13.766 ,,,,
2022,world champion,BRASSART Maellyse ,BEL,15,BB,2,5.2 ,6.533 ,11.733 ,,,,
2022,world champion,BRASSART Maellyse ,BEL,15,FX,3,5.0 ,8.133 ,13.133 ,,,,
2022,world champion,VOLLEMAN Tisha,NED,16,VT,2,4.2 ,9.200 ,13.400 ,,,,
2022,world champion,VOLLEMAN Tisha,NED,16,UB,3,5.2 ,7.933 ,13.133 ,,,,
2022,world champion,VOLLEMAN Tisha,NED,16,BB,4,4.6 ,7.733 ,12.333 ,,,,
2022,world champion,VOLLEMAN Tisha,NED,16,FX,1,4.7 ,7.966 ,12.666 ,,,,
2022,world champion,LEE Yunseo,KOR,17,VT,2,4.2 ,8.700 ,12.900 ,,,,
2022,world champion,LEE Yunseo,KOR,17,UB,3,6.3 ,6.766 ,13.066 ,,,,
2022,world champion,LEE Yunseo,KOR,17,BB,4,5.2 ,7.566 ,12.766 ,,,,
2022,world champion,LEE Yunseo,KOR,17,FX,1,5.1 ,7.500 ,12.600 ,,,,
2022,world champion,VISSER Naomi,NED,18,VT,4,4.2 ,8.800 ,13.000 ,,,,
2022,world champion,VISSER Naomi,NED,18,UB,1,6.0 ,6.033 ,12.033 ,,,,
2022,world champion,VISSER Naomi,NED,18,BB,2,4.8 ,7.066 ,11.866 ,,,,
2022,world champion,VISSER Naomi,NED,18,FX,3,5.6 ,8.166 ,13.766 ,,,,
2022,world champion,HEDUIT Carolann,FRA,19,VT,3,5.0 ,8.433 ,13.433 ,,,,
2022,world champion,HEDUIT Carolann,FRA,19,UB,4,5.8 ,7.466 ,13.266 ,,,,
2022,world champion,HEDUIT Carolann,FRA,19,BB,1,5.3 ,6.633 ,11.933 ,,,,
2022,world champion,HEDUIT Carolann,FRA,19,FX,2,5.1 ,6.800 ,11.900 ,,,,
2022,world champion,BARBOSU Ana ,ROU,20,VT,2,4.2 ,8.900 ,13.100 ,,,,
2022,world champion,BARBOSU Ana ,ROU,20,UB,3,5.9 ,6.866 ,12.766 ,,,,
2022,world champion,BARBOSU Ana ,ROU,20,BB,4,5.6 ,7.133 ,12.733 ,,,,
2022,world champion,BARBOSU Ana ,ROU,20,FX,1,5.2 ,6.733 ,11.933 ,,,,
2022,world champion,FRIESS Aline,FRA,21,VT,4,4.4 ,8.600 ,13.000 ,,,,
2022,world champion,FRIESS Aline,FRA,21,UB,1,5.3 ,7.700 ,13.000 ,,,,
2022,world champion,FRIESS Aline,FRA,21,BB,2,5.1 ,6.366 ,11.466 ,,,,
2022,world champion,FRIESS Aline,FRA,21,FX,3,5.2 ,7.600 ,12.800 ,,,,
2022,world champion,SCHOENMAIER Karina,GER,22,VT,3,4.2 ,8.866 ,13.066 ,,,,
2022,world champion,SCHOENMAIER Karina,GER,22,UB,4,4.7 ,7.433 ,12.133 ,,,,
2022,world champion,SCHOENMAIER Karina,GER,22,BB,1,4.4 ,7.266 ,11.666 ,,,,
2022,world champion,SCHOENMAIER Karina,GER,22,FX,2,4.7 ,7.866 ,12.566 ,,,,
2022,world champion,BROWN Romi,AUS,23,VT,2,4.2 ,8.966 ,13.166 ,,,,
2022,world champion,BROWN Romi,AUS,23,UB,3,5.2 ,8.266 ,13.466 ,,,,
2022,world champion,BROWN Romi,AUS,23,BB,4,4.7 ,6.500 ,11.200 ,,,,
2022,world champion,BROWN Romi,AUS,23,FX,1,4.8 ,6.633 ,11.433 ,,,,
2022,world champion,CASABUENA Laura ,ESP,24,VT,2,4.2 ,9.000 ,13.200 ,,,,
2022,world champion,CASABUENA Laura ,ESP,24,UB,3,4.9 ,7.400 ,12.300 ,,,,
2022,world champion,CASABUENA Laura ,ESP,24,BB,4,5.0 ,2.500 ,7.500 ,,,,
2022,world champion,CASABUENA Laura ,ESP,24,FX,1,5.1 ,8.233 ,13.333 ,,,,
2023,world champion,BILES Simone,USA,1,VT,1,5.6,9.500 ,15.100 ,,,,
2023,world champion,BILES Simone,USA,1,UB,2,6,8.333 ,14.333 ,,,,
2023,world champion,BILES Simone,USA,1,BB,3,6.4,8.033 ,14.433 ,,,,
2023,world champion,BILES Simone,USA,1,FX,4,6.5,8.033 ,14.533 ,,,,
2023,world champion,ANDRADE Rebeca ,BRA,2,VT,1,5.6,9.100 ,14.700 ,,,,
2023,world champion,ANDRADE Rebeca ,BRA,2,UB,2,6.1,8.400 ,14.500 ,,,,
2023,world champion,ANDRADE Rebeca ,BRA,2,BB,3,5.8,7.700 ,13.500 ,,,,
2023,world champion,ANDRADE Rebeca ,BRA,2,FX,4,6.2,7.866 ,14.066 ,,,,
2023,world champion,JONES Shilese,USA,3,VT,1,5,9.233 ,14.233 ,,,,
2023,world champion,JONES Shilese,USA,3,UB,2,6.3,8.333 ,14.633 ,,,,
2023,world champion,JONES Shilese,USA,3,BB,3,5.9,8.166 ,14.066 ,,,,
2023,world champion,JONES Shilese,USA,3,FX,4,5.6,7.800 ,13.400 ,,,,
2023,world champion,QIU Qiyuan ,CHN,4,VT,4,4.4,8.800 ,13.200 ,,,,
2023,world champion,QIU Qiyuan ,CHN,4,UB,1,6.3,8.400 ,14.700 ,,,,
2023,world champion,QIU Qiyuan ,CHN,4,BB,2,6.5,7.233 ,13.733 ,,,,
2023,world champion,QIU Qiyuan ,CHN,4,FX,3,5.1,8.066 ,13.166 ,,,,
2023,world champion,D'AMATO Alice,ITA,5,VT,3,5,8.933 ,13.933 ,,,,
2023,world champion,D'AMATO Alice,ITA,5,UB,4,6.3,8.366 ,14.666 ,,,,
2023,world champion,D'AMATO Alice,ITA,5,BB,1,5.3,7.866 ,13.166 ,,,,
2023,world champion,D'AMATO Alice,ITA,5,FX,2,5.4,7.100 ,12.500 ,,,,
2023,world champion,THORSDOTTIR Eythora ,NED,6,VT,2,5,8.833 ,13.833 ,,,,
2023,world champion,THORSDOTTIR Eythora ,NED,6,UB,3,5.5,7.933 ,13.433 ,,,,
2023,world champion,THORSDOTTIR Eythora ,NED,6,BB,4,5.3,8.266 ,13.566 ,,,,
2023,world champion,THORSDOTTIR Eythora ,NED,6,FX,1,5.1,8.166 ,13.266 ,,,,
2023,world champion,KINSELLA Alice ,GBR,7,VT,1,5,8.766 ,13.766 ,,,,
2023,world champion,KINSELLA Alice ,GBR,7,UB,2,5.8,7.800 ,13.600 ,,,,
2023,world champion,KINSELLA Alice ,GBR,7,BB,3,5.7,7.733 ,13.433 ,,,,
2023,world champion,KINSELLA Alice ,GBR,7,FX,4,5.5,7.733 ,13.233 ,,,,
2023,world champion,NEMOUR Kaylia ,ALG,8,VT,4,4.2,8.566 ,12.766 ,,,,
2023,world champion,NEMOUR Kaylia ,ALG,8,UB,1,6.9,8.300 ,15.200 ,,,,
2023,world champion,NEMOUR Kaylia ,ALG,8,BB,2,5.5,7.800 ,13.300 ,,,,
2023,world champion,NEMOUR Kaylia ,ALG,8,FX,3,5,7.700 ,12.700 ,,,,
2023,world champion,ESPOSITO Manila ,ITA,9,VT,4,4.6,9.166 ,13.766 ,,,,
2023,world champion,ESPOSITO Manila ,ITA,9,UB,1,5.9,8.266 ,14.166 ,,,,
2023,world champion,ESPOSITO Manila ,ITA,9,BB,2,5.7,7.166 ,12.866 ,,,,
2023,world champion,ESPOSITO Manila ,ITA,9,FX,3,5.5,7.600 ,13.100 ,,,,
2023,world champion,de JESUS dos SANTOS Melanie ,FRA,10,VT,4,5,9.066 ,14.066 ,,,,
2023,world champion,de JESUS dos SANTOS Melanie ,FRA,10,UB,1,5.3,7.200 ,12.500 ,,,,
2023,world champion,de JESUS dos SANTOS Melanie ,FRA,10,BB,2,5.7,7.766 ,13.466 ,,,,
2023,world champion,de JESUS dos SANTOS Melanie ,FRA,10,FX,3,5.6,8.233 ,13.833 ,,,,
2023,world champion,KISHI Rina ,JPN,11,VT,2,5,8.800 ,13.800 ,,,,
2023,world champion,KISHI Rina ,JPN,11,UB,3,5,7.966 ,12.966 ,,,,
2023,world champion,KISHI Rina ,JPN,11,BB,4,5.4,8.133 ,13.533 ,,,,
2023,world champion,KISHI Rina ,JPN,11,FX,1,5.7,7.200 ,12.900 ,,,,
2023,world champion,VISSER Naomi ,NED,12,VT,4,4.2,8.933 ,13.133 ,,,,
2023,world champion,VISSER Naomi ,NED,12,UB,1,6,8.266 ,14.266 ,,,,
2023,world champion,VISSER Naomi ,NED,12,BB,2,5,7.200 ,12.200 ,,,,
2023,world champion,VISSER Naomi ,NED,12,FX,3,5.7,7.833 ,13.533 ,,,,
2023,world champion,ACHAMPONG Ondine ,GBR,13,VT,3,5,9.133 ,14.133 ,,,,
2023,world champion,ACHAMPONG Ondine ,GBR,13,UB,4,4.9,7.633 ,12.533 ,,,,
2023,world champion,ACHAMPONG Ondine ,GBR,13,BB,1,5.9,7.700 ,13.600 ,,,,
2023,world champion,ACHAMPONG Ondine ,GBR,13,FX,2,5.3,7.400 ,12.700 ,,,,
2023,world champion,OSYSSEK-REIMER Morgane ,FRA,14,VT,4,4.2,9.000 ,13.200 ,,,,
2023,world champion,OSYSSEK-REIMER Morgane ,FRA,14,UB,1,5.3,7.800 ,13.100 ,,,,
2023,world champion,OSYSSEK-REIMER Morgane ,FRA,14,BB,2,5.4,7.966 ,13.366 ,,,,
2023,world champion,OSYSSEK-REIMER Morgane ,FRA,14,FX,3,5.5,7.633 ,13.133 ,,,,
2023,world champion,SARAIVA Flavia ,BRA,15,VT,1,5,8.833 ,13.833 ,,,,
2023,world champion,SARAIVA Flavia ,BRA,15,UB,2,5.4,7.233 ,12.633 ,,,,
2023,world champion,SARAIVA Flavia ,BRA,15,BB,3,5.7,8.333 ,14.033 ,,,,
2023,world champion,SARAIVA Flavia ,BRA,15,FX,4,5.2,7.000 ,12.200 ,,,,
2023,world champion,BLACK Elsabeth,CAN,16,VT,1,5,9.000 ,14.000 ,,,,
2023,world champion,BLACK Elsabeth,CAN,16,UB,2,5.2,6.933 ,12.133 ,,,,
2023,world champion,BLACK Elsabeth,CAN,16,BB,3,5.5,7.433 ,12.933 ,,,,
2023,world champion,BLACK Elsabeth,CAN,16,FX,4,5.4,7.500 ,12.900 ,,,,
2023,world champion,HATAKEDA Chiaki ,JPN,17,VT,2,4.6,8.366 ,12.966 ,,,,
2023,world champion,HATAKEDA Chiaki ,JPN,17,UB,3,5.3,7.866 ,13.166 ,,,,
2023,world champion,HATAKEDA Chiaki ,JPN,17,BB,4,5.3,7.833 ,13.133 ,,,,
2023,world champion,HATAKEDA Chiaki ,JPN,17,FX,1,5.2,7.400 ,12.600 ,,,,
2023,world champion,MORENO Alexa ,MEX,18,VT,2,5.4,8.566 ,13.966 ,,,,
2023,world champion,MORENO Alexa ,MEX,18,UB,3,5.5,7.466 ,12.966 ,,,,
2023,world champion,MORENO Alexa ,MEX,18,BB,4,5.1,7.500 ,12.600 ,,,,
2023,world champion,MORENO Alexa ,MEX,18,FX,1,5.7,6.533 ,12.233 ,,,,
2023,world champion,LEE Yunseo,KOR,19,VT,3,4.2,8.533 ,12.733 ,,,,
2023,world champion,LEE Yunseo,KOR,19,UB,4,6.1,7.666 ,13.766 ,,,,
2023,world champion,LEE Yunseo,KOR,19,BB,1,5.2,7.133 ,12.333 ,,,,
2023,world champion,LEE Yunseo,KOR,19,FX,2,5.3,7.600 ,12.900 ,,,,
2023,world champion,GODWIN Georgia,AUS,20,VT,3,4.8,8.800 ,13.600 ,,,,
2023,world champion,GODWIN Georgia,AUS,20,UB,4,5.6,7.900 ,13.500 ,,,,
2023,world champion,GODWIN Georgia,AUS,20,BB,1,5.8,6.466 ,12.266 ,,,,
2023,world champion,GODWIN Georgia,AUS,20,FX,2,5.5,6.833 ,12.333 ,,,,
2023,world champion,MARTINS Filipa ,POR,21,VT,2,4.2,8.666 ,12.866 ,,,,
2023,world champion,MARTINS Filipa ,POR,21,UB,3,5.3,8.133 ,13.433 ,,,,
2023,world champion,MARTINS Filipa ,POR,21,BB,4,5,7.566 ,12.566 ,,,,
2023,world champion,MARTINS Filipa ,POR,21,FX,1,4.8,7.933 ,12.733 ,,,,
2023,world champion,VOSS Sarah ,GER,22,VT,2,4.2,9.200 ,13.400 ,,,,
2023,world champion,VOSS Sarah ,GER,22,UB,3,4.7,6.200 ,10.900 ,,,,
2023,world champion,VOSS Sarah ,GER,22,BB,4,5.3,7.866 ,13.166 ,,,,
2023,world champion,VOSS Sarah ,GER,22,FX,1,5.2,8.133 ,13.333 ,,,,
2023,world champion,BARBOSU Ana ,ROU,23,VT,3,4.6,8.766 ,13.366 ,,,,
2023,world champion,BARBOSU Ana ,ROU,23,UB,4,6.1,5.566 ,11.666 ,,,,
2023,world champion,BARBOSU Ana ,ROU,23,BB,1,5.8,7.733 ,13.533 ,,,,
2023,world champion,BARBOSU Ana ,ROU,23,FX,2,5.3,6.300 ,11.600 ,,,,
2023,world champion,SCHAEFER-BETZ Pauline ,GER,24,VT,3,3.8,8.933 ,12.733 ,,,,
2023,world champion,SCHAEFER-BETZ Pauline ,GER,24,UB,4,4.8,8.133 ,12.933 ,,,,
2023,world champion,SCHAEFER-BETZ Pauline ,GER,24,BB,1,5.8,7.766 ,13.566 ,,,,
2023,world champion,SCHAEFER-BETZ Pauline ,GER,24,FX,2,4.1,6.600 ,10.700 ,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
